id,variant_color,variant_size,normalized_size,normalized_color,size_type,product_name,category_name,category_path
bad67473-35b2-48a6-973f-9e68e01e743f,Camel,XS,S,Brown,,Alanui Trousers Camel,Trousers,women/clothing/trousers
23f42d77-1ca3-4b87-a31b-9d0220079d3a,Black,L,M,Black,,Ambush Coats Black,Jackets,men/clothing/jackets
8004cde5-753c-49c7-9493-ef5e3f371e2c,Black,M,M,Black,,Ambush Coats Black,Jackets,men/clothing/jackets
f16497a8-d6b4-4d67-8a7b-31b517f15916,Black,S,M,Black,,Ambush Coats Black,Jackets,men/clothing/jackets
1b4ab2c8-3889-49f7-9436-e6519cfdd530,Blue,M,M,Blue,,Dolce & Gabbana intarsia-knit logo jumper,Topwear,men/clothing/topwear
b7554ba2-5afe-47e6-be8e-6f082a4ac1af,Blue,S,M,Blue,,Dolce & Gabbana intarsia-knit logo jumper,Topwear,men/clothing/topwear
a75b6601-89d3-4034-b7ce-0a0df4ab9854,Grey,M,S,Grey,,Balenciaga Checked pattern flannel shirt,Shirts,men/clothing/shirts
f316a5a9-2cee-48de-8946-336fb6d7a638,Grey,S,S,Grey,,Balenciaga Checked pattern flannel shirt,Shirts,men/clothing/shirts
7754729b-2d15-444a-b53b-85795941acc0,Fuchsia,36,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
64cb8b22-ef8d-47be-99ba-5bc491ebe494,Fuchsia,36.5,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
100e8cc1-656b-4fee-8cce-624772d2af3b,Fuchsia,37,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
d2b5f9d1-7f21-4912-8c22-b55afd9ffad8,Fuchsia,37.5,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
f8ef86fa-ac53-44b7-8bbf-a32a9b36c871,White,40,UK 3.5,White,,Balmain Ribbed-knit mini skirt,Skirts,women/clothing/skirts
d2f89d5f-a41d-485a-8fb9-77567b05f173,Black,L,M,Black,,Alexander McQueen two-tone Elasticated Track Shorts,Short trousers,men/clothing/short-trousers
6cbc8fca-91ea-47a3-a564-577fcb352735,Black,M,M,Black,,Alexander McQueen two-tone Elasticated Track Shorts,Short trousers,men/clothing/short-trousers
40a9770c-ebb4-416d-9b82-eeef37428e2a,Black,S,M,Black,,Alexander McQueen two-tone Elasticated Track Shorts,Short trousers,men/clothing/short-trousers
51946197-d847-4b92-9aa5-2a700f126793,Black,38,UK 8,Black,,Dolce & Gabbana Semi-transparent shirt,Shirts,women/clothing/shirts
b55dd2cc-fdf1-4ca6-830e-13fd0bbc8efb,Black,40,UK 8,Black,,Dolce & Gabbana Semi-transparent shirt,Shirts,women/clothing/shirts
5c98b4e4-3b96-4ca5-b027-36dbb30fc995,Black,S,S,Black,Clothing,"TOP ""ROPES""",Tops,woman/clothing/tops
9bee23ce-2993-4b12-8fef-a24c904e1218,Powder,36,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
712fbcb6-7782-4b29-a5f9-7b37e6c12000,Powder,37,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
a5b84e4c-6388-454c-a00c-0773b27898e5,Powder,37.5,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
2201ca52-1c39-477e-a2a4-fef8ed1f6296,Powder,38,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
e5daaad0-e96b-4248-8117-db87796f9d0b,Powder,38.5,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
2323da17-02de-468e-a3c5-6329b66c1833,Powder,39,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
ca18992e-539d-49cb-96f9-831938d92d00,Red,S,UK 11,Red,,Ferragamo Underwear Red,Beachwear & underwear,women/clothing/beachwear-underwear
b49d8e41-1e3f-4db9-b945-c6ea3654ce60,Powder,40,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
ded8600d-a7d3-4914-bbfd-a759786bb80e,Powder,41,UK 10,Beige,,Gianvito Rossi Boots Powder,Boots,women/shoes/boots
757934e1-e504-4803-9b46-7eacf11fea96,Black,35,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
352ac59e-9d69-4706-8474-821f2635bef7,Black,36,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
2ecb21cc-5cc3-4ace-9510-fab6a0de7226,Black,36.5,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
17fb6e33-2c8a-4ff5-a390-40f2a14b920c,Black,37,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
3a7771c2-8043-4428-9c9c-8c024b5589c3,Red,S,M,Red,,THUG CLUB Jackets Red,Vests,men/clothing/vests
f7f7e5e9-0343-49ee-9bb0-41305a2516ef,Black,42,UK 8,Black,,Dolce & Gabbana Semi-transparent shirt,Shirts,women/clothing/shirts
80566ba9-caab-4d3c-b2fe-ccea1481ccd3,Black,44,UK 8,Black,,Dolce & Gabbana Semi-transparent shirt,Shirts,women/clothing/shirts
ab2cf89c-e979-45d8-bfb3-60e2bce7f416,Black,46,UK 8,Black,,Dolce & Gabbana Semi-transparent shirt,Shirts,women/clothing/shirts
7812ecdb-5fc0-48ac-952c-362bd8ca8542,Black,40,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
31c67503-c05d-4907-a640-94e29671b525,Black,41,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
90ef8945-309d-40cd-9e37-86bfabfb6560,Black,42,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
d673ccd1-a8e6-4e64-8aa4-e6c6855c6613,Azure,M,UK 10,Multi,Clothing,WOOL JERSEY.,Sweaters,man/clothing/sweaters
e67b0dd2-1469-45ac-9af5-bc8c4c7c6070,Black,38,S,Black,,Balenciaga Crystal embellished velvet zip-up hoodie,Topwear,women/clothing/topwear
47d27fca-21d3-45b5-9d3a-134b779bd3f6,Black,38,UK 4,Black,,Dolce & Gabbana Mini skirt with knot,Skirts,women/clothing/skirts
df8888ac-bba2-435b-bf4c-9148d4e0fe47,Black,40,UK 4,Black,,Dolce & Gabbana Mini skirt with knot,Skirts,women/clothing/skirts
253edd71-0366-4fcb-93c4-b85ab30fa1f3,Black,42,UK 4,Black,,Dolce & Gabbana Mini skirt with knot,Skirts,women/clothing/skirts
7ca29dc3-bc0f-4b78-ac1d-309566d8228e,Beige,UNI,,Beige,,SANTA BRAND Dresses Beige,Dresses,women/clothing/dresses
1f82be7b-78ac-4043-bc78-a60deeca361a,Red,L,M,Red,,THUG CLUB Jackets Red,Vests,men/clothing/vests
46e2ef14-7a6d-49ed-9d53-35df2b835574,Red,M,M,Red,,THUG CLUB Jackets Red,Vests,men/clothing/vests
00f9afd0-1de2-4fa6-aa44-06f01e40db08,Azure,XL,UK 10,Multi,Clothing,WOOL JERSEY.,Sweaters,man/clothing/sweaters
bdeaf6fe-0ed4-495f-9636-b8e2a26af4d6,Black,42.5,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
45c732e6-cb43-4a1d-ba49-75bd0c2c1f99,Black,43,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
cb95d2b2-93ad-406d-ac58-46068532290b,Black,43.5,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
0cc74895-f049-4829-9768-493f2a957d9d,Black,44,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
2921ee15-8464-4f97-b8ba-64b41a89df88,Black,45,UK 10,Black,,Dolce & Gabbana leather derby shoes,Boots,men/shoes/boots
33823c35-3bea-4bd4-932a-4f1481a01dc4,Camel,46,UK 11,Brown,,Dolce & Gabbana Sweater With Embroidery,Topwear,men/clothing/topwear
ad6471db-008c-4aa6-8148-51cfd94c433d,Brown,40,UK 5,Brown,,Gabriele Pasini Trousers Brown,Trousers,women/clothing/trousers
099f1b33-a7f7-46b2-833f-f048bbe05b9c,Fuchsia,38,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
db253c00-7257-4bd1-8a95-7db26166d26b,Fuchsia,38.5,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
f811edd0-1ed3-4d70-9e01-d0d5f3a2976c,Fuchsia,39,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
28f843c1-6dd8-42ed-b435-639fbfa2f8d2,Fuchsia,39.5,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
db49d68c-c45d-4837-b89b-3dcfaf5fdefe,Fuchsia,40,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
08f63937-dadc-406b-9318-abdc0da30c98,Fuchsia,41,UK 3,Pink,,The Attico Sandals Fuchsia,Sandals,women/shoes/sandals
30822dfa-bd9e-4a3c-9e56-9503e9af86e8,Black,S,S,Black,,Ganni logo-patch shorts,Short trousers,women/clothing/short-trousers
5bf6f1ba-0278-4e00-8054-8b873c153f5d,Camel,48,UK 11,Brown,,Dolce & Gabbana Sweater With Embroidery,Topwear,men/clothing/topwear
71c032a6-c33c-4bf3-874e-f064290a4931,Camel,50,UK 11,Brown,,Dolce & Gabbana Sweater With Embroidery,Topwear,men/clothing/topwear
e1d06aa8-083b-427c-8bee-a3b8d12136ea,Camel,52,UK 11,Brown,,Dolce & Gabbana Sweater With Embroidery,Topwear,men/clothing/topwear
036aa890-9511-4e74-81fb-65626cbca688,Black,S,S,Black,,Balenciaga deconstructed denim jacket,Jackets,men/clothing/jackets
fff5b702-b5b1-44d9-a589-2363d9905a7d,Silver,38,UK 3.5,Silver,,The Attico Skirts Silver,Skirts,women/clothing/skirts
b366bf8a-3707-4f73-8d68-0d4530082e3a,Silver,40,UK 3.5,Silver,,The Attico Skirts Silver,Skirts,women/clothing/skirts
cf577166-5e6d-4403-9656-16af0a847805,Silver,42,UK 3.5,Silver,,The Attico Skirts Silver,Skirts,women/clothing/skirts
07666ec3-d4cb-48fe-8c75-2e8ec427673d,Black,37.5,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
ee23022f-3acf-4232-a0bf-787fe33324ee,Black,38,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
5812f217-9a84-4dab-aaf0-2eceaa873129,Black,39,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
0e6ee93a-ac7b-453b-a87c-56b1f69bd404,Black,40,UK 3,Black,,Giuseppe Zanotti Solhene 90mm velvet-effect sandals,Sandals,women/shoes/sandals
666d73d6-d3dc-44f5-a7b4-ef6d84a61b80,Black,46,UK 3,Black,,Dolce & Gabbana Cargo With Logo Plaque,Trousers,men/clothing/trousers
78521cb5-cf7d-4f01-8923-f395752c8141,Black,48,UK 3,Black,,Dolce & Gabbana Cargo With Logo Plaque,Trousers,men/clothing/trousers
233c6567-d45e-4693-a952-ccdc40e077c4,Brown,44,UK 5,Brown,,Gabriele Pasini Trousers Brown,Trousers,women/clothing/trousers
509c825e-28df-46ba-8da5-ffaaafa1d575,Grey,UNI,UK 12,Grey,,The Attico Long Night crystal-embellished clutch bag,Clutches,women/bags/clutches
f7c29b1c-c496-434e-bd47-7f61c982ba7d,Black,24,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
15abdedf-932f-493f-a52f-87cf146bc484,Black,25,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
4f2134c2-e339-42b2-9a5c-5a2700072447,Black,26,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
e62c5c75-5aec-48e2-95f6-7efc4046c0dd,Black,27,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
43cacd33-1c8a-4b56-9718-7440c66da8f3,Black,28,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
e9385d2d-b86a-4f43-8651-8089c5ae738a,Black,29,S,Black,,Dondup Jeans Black,Jeans,women/clothing/jeans
68428b52-09a9-4dbf-9c51-9bd52d1c957a,Black,50,UK 3,Black,,Dolce & Gabbana Cargo With Logo Plaque,Trousers,men/clothing/trousers
33957f61-2388-4339-b720-a760a6c2ce40,Black,52,UK 3,Black,,Dolce & Gabbana Cargo With Logo Plaque,Trousers,men/clothing/trousers
cab91e49-401b-4f9e-b7d4-4dbea4dd2835,Black,38,UK 8,Black,,Dolce & Gabbana Silk chiffon shirt with satin details,Shirts,women/clothing/shirts
c8c7ae31-1c54-4033-937c-011acf8752dd,Black,40,UK 8,Black,,Dolce & Gabbana Silk chiffon shirt with satin details,Shirts,women/clothing/shirts
a44a2a8c-57be-4db2-96aa-8f12e571e568,Black,42,UK 8,Black,,Dolce & Gabbana Silk chiffon shirt with satin details,Shirts,women/clothing/shirts
9e73b8d4-1dec-4743-9aa8-c87c7f65e5d7,Black,44,UK 8,Black,,Dolce & Gabbana Silk chiffon shirt with satin details,Shirts,women/clothing/shirts
